SiteID,Site,Date,Depth,Variable,Value,MethodID
Site569,Huron_GBPointeAuxBaril,2002-07-31 00:00,NAN,Kd305,3.91,Method167
Site569,Huron_GBPointeAuxBaril,2002-07-31 00:00,NAN,Kd313,2.93,Method167
Site569,Huron_GBPointeAuxBaril,2002-07-31 00:00,NAN,Kd320,2.68,Method167
Site569,Huron_GBPointeAuxBaril,2002-07-31 00:00,NAN,Kd340,1.94,Method167
Site569,Huron_GBPointeAuxBaril,2002-07-31 00:00,NAN,Kd380,1.07,Method167
Site569,Huron_GBPointeAuxBaril,2002-07-31 00:00,NAN,Kd395,0.85,Method167
Site569,Huron_GBPointeAuxBaril,2002-07-31 00:00,NAN,KdPAR,0.33,Method167
Site569,Huron_GBPointeAuxBaril,2002-07-31 00:00,NAN,max.depth,8.43,Method167
Site569,Huron_GBPointeAuxBaril,2002-07-31 00:00,NAN,ss.10pc.305,0.57,Method167
Site569,Huron_GBPointeAuxBaril,2002-07-31 00:00,NAN,ss.10pc.313,0.79,Method167
Site569,Huron_GBPointeAuxBaril,2002-07-31 00:00,NAN,ss.10pc.320,0.89,Method167
Site569,Huron_GBPointeAuxBaril,2002-07-31 00:00,NAN,ss.10pc.340,1.32,Method167
Site569,Huron_GBPointeAuxBaril,2002-07-31 00:00,NAN,ss.10pc.380,2.25,Method167
Site569,Huron_GBPointeAuxBaril,2002-07-31 00:00,NAN,ss.10pc.395,2.86,Method167
Site569,Huron_GBPointeAuxBaril,2002-07-31 00:00,NAN,ss.10pc.par,6.56,Method167
Site569,Huron_GBPointeAuxBaril,2002-07-31 00:00,NAN,ss.1pc.305,1.32,Method167
Site569,Huron_GBPointeAuxBaril,2002-07-31 00:00,NAN,ss.1pc.313,1.57,Method167
Site569,Huron_GBPointeAuxBaril,2002-07-31 00:00,NAN,ss.1pc.320,1.72,Method167
Site569,Huron_GBPointeAuxBaril,2002-07-31 00:00,NAN,ss.1pc.340,2.37,Method167
Site569,Huron_GBPointeAuxBaril,2002-07-31 00:00,NAN,ss.1pc.380,4.32,Method167
Site569,Huron_GBPointeAuxBaril,2002-07-31 00:00,NAN,ss.1pc.395,5.41,Method167
Site569,Huron_GBPointeAuxBaril,2002-07-31 00:00,0.5,temp0.5m,22.85,Method167
Site569,Huron_GBPointeAuxBaril,2002-07-31 00:00,2,temp2m,22.75,Method167
Site569,Huron_GBPointeAuxBaril,2002-10-15 00:00,NAN,Kd305,2.5,Method167
Site569,Huron_GBPointeAuxBaril,2002-10-15 00:00,NAN,Kd313,1.92,Method167
Site569,Huron_GBPointeAuxBaril,2002-10-15 00:00,NAN,Kd320,1.77,Method167
Site569,Huron_GBPointeAuxBaril,2002-10-15 00:00,NAN,Kd340,1.16,Method167
Site569,Huron_GBPointeAuxBaril,2002-10-15 00:00,NAN,Kd380,0.61,Method167
Site569,Huron_GBPointeAuxBaril,2002-10-15 00:00,NAN,Kd395,0.47,Method167
Site569,Huron_GBPointeAuxBaril,2002-10-15 00:00,NAN,max.depth,9.39,Method167
Site569,Huron_GBPointeAuxBaril,2002-10-15 00:00,NAN,ss.10pc.305,1.28,Method167
Site569,Huron_GBPointeAuxBaril,2002-10-15 00:00,NAN,ss.10pc.313,1.28,Method167
Site569,Huron_GBPointeAuxBaril,2002-10-15 00:00,NAN,ss.10pc.320,1.28,Method167
Site569,Huron_GBPointeAuxBaril,2002-10-15 00:00,NAN,ss.10pc.340,1.77,Method167
Site569,Huron_GBPointeAuxBaril,2002-10-15 00:00,NAN,ss.10pc.380,3.11,Method167
Site569,Huron_GBPointeAuxBaril,2002-10-15 00:00,NAN,ss.10pc.395,4.46,Method167
Site569,Huron_GBPointeAuxBaril,2002-10-15 00:00,NAN,ss.1pc.305,7.94,Method167
Site569,Huron_GBPointeAuxBaril,2002-10-15 00:00,NAN,ss.1pc.313,2.4,Method167
Site569,Huron_GBPointeAuxBaril,2002-10-15 00:00,NAN,ss.1pc.320,2.6,Method167
Site569,Huron_GBPointeAuxBaril,2002-10-15 00:00,NAN,ss.1pc.340,3.98,Method167
Site569,Huron_GBPointeAuxBaril,2002-10-15 00:00,NAN,ss.1pc.380,7.49,Method167
Site569,Huron_GBPointeAuxBaril,2002-10-15 00:00,NAN,ss.1pc.395,9.76,Method167
Site569,Huron_GBPointeAuxBaril,2002-10-15 00:00,0.5,temp0.5m,12.88,Method167
Site569,Huron_GBPointeAuxBaril,2002-10-15 00:00,2,temp2m,12.88,Method167
Site569,Huron_GBPointeAuxBaril,2003-06-10 00:00,NAN,Kd380,2.5,Method167
Site569,Huron_GBPointeAuxBaril,2003-06-10 00:00,NAN,Kd395,1.76,Method167
Site569,Huron_GBPointeAuxBaril,2003-06-10 00:00,NAN,KdPAR,0.47,Method167
Site569,Huron_GBPointeAuxBaril,2003-06-10 00:00,NAN,max.depth,7.46,Method167
Site569,Huron_GBPointeAuxBaril,2003-06-10 00:00,NAN,ss.10pc.380,0.88,Method167
Site569,Huron_GBPointeAuxBaril,2003-06-10 00:00,NAN,ss.10pc.395,1.2,Method167
Site569,Huron_GBPointeAuxBaril,2003-06-10 00:00,NAN,ss.10pc.par,4.93,Method167
Site569,Huron_GBPointeAuxBaril,2003-06-10 00:00,NAN,ss.1pc.380,1.85,Method167
Site569,Huron_GBPointeAuxBaril,2003-06-10 00:00,NAN,ss.1pc.395,2.61,Method167
Site569,Huron_GBPointeAuxBaril,2003-06-10 00:00,0.5,temp0.5m,14.86,Method167
Site569,Huron_GBPointeAuxBaril,2003-06-10 00:00,2,temp2m,14.76,Method167
Site569,Huron_GBPointeAuxBaril,2003-08-27 00:00,NAN,Kd305,3.72,Method167
Site569,Huron_GBPointeAuxBaril,2003-08-27 00:00,NAN,Kd313,2.83,Method167
Site569,Huron_GBPointeAuxBaril,2003-08-27 00:00,NAN,Kd320,2.52,Method167
Site569,Huron_GBPointeAuxBaril,2003-08-27 00:00,NAN,Kd340,1.82,Method167
Site569,Huron_GBPointeAuxBaril,2003-08-27 00:00,NAN,Kd380,1.04,Method167
Site569,Huron_GBPointeAuxBaril,2003-08-27 00:00,NAN,Kd395,0.84,Method167
Site569,Huron_GBPointeAuxBaril,2003-08-27 00:00,NAN,KdPAR,0.37,Method167
Site569,Huron_GBPointeAuxBaril,2003-08-27 00:00,NAN,max.depth,7.96,Method167
Site569,Huron_GBPointeAuxBaril,2003-08-27 00:00,NAN,ss.10pc.305,0.66,Method167
Site569,Huron_GBPointeAuxBaril,2003-08-27 00:00,NAN,ss.10pc.313,0.81,Method167
Site569,Huron_GBPointeAuxBaril,2003-08-27 00:00,NAN,ss.10pc.320,0.89,Method167
Site569,Huron_GBPointeAuxBaril,2003-08-27 00:00,NAN,ss.10pc.340,1.2,Method167
Site569,Huron_GBPointeAuxBaril,2003-08-27 00:00,NAN,ss.10pc.380,2.18,Method167
Site569,Huron_GBPointeAuxBaril,2003-08-27 00:00,NAN,ss.10pc.395,2.7,Method167
Site569,Huron_GBPointeAuxBaril,2003-08-27 00:00,NAN,ss.10pc.par,5.48,Method167
Site569,Huron_GBPointeAuxBaril,2003-08-27 00:00,NAN,ss.1pc.305,1.49,Method167
Site569,Huron_GBPointeAuxBaril,2003-08-27 00:00,NAN,ss.1pc.313,1.63,Method167
Site569,Huron_GBPointeAuxBaril,2003-08-27 00:00,NAN,ss.1pc.320,1.83,Method167
Site569,Huron_GBPointeAuxBaril,2003-08-27 00:00,NAN,ss.1pc.340,2.54,Method167
Site569,Huron_GBPointeAuxBaril,2003-08-27 00:00,NAN,ss.1pc.380,4.44,Method167
Site569,Huron_GBPointeAuxBaril,2003-08-27 00:00,NAN,ss.1pc.395,5.48,Method167
Site569,Huron_GBPointeAuxBaril,2003-08-27 00:00,0.5,temp0.5m,20.85,Method167
Site569,Huron_GBPointeAuxBaril,2003-08-27 00:00,2,temp2m,20.85,Method167
Site569,Huron_GBPointeAuxBaril,2003-10-08 00:00,NAN,Kd313,2.09,Method167
Site569,Huron_GBPointeAuxBaril,2003-10-08 00:00,NAN,Kd320,1.53,Method167
Site569,Huron_GBPointeAuxBaril,2003-10-08 00:00,NAN,Kd340,1.21,Method167
Site569,Huron_GBPointeAuxBaril,2003-10-08 00:00,NAN,Kd380,0.71,Method167
Site569,Huron_GBPointeAuxBaril,2003-10-08 00:00,NAN,Kd395,0.58,Method167
Site569,Huron_GBPointeAuxBaril,2003-10-08 00:00,NAN,KdPAR,0.29,Method167
Site569,Huron_GBPointeAuxBaril,2003-10-08 00:00,NAN,max.depth,5.54,Method167
Site569,Huron_GBPointeAuxBaril,2003-10-08 00:00,NAN,ss.10pc.313,1.37,Method167
Site569,Huron_GBPointeAuxBaril,2003-10-08 00:00,NAN,ss.10pc.320,1.64,Method167
Site569,Huron_GBPointeAuxBaril,2003-10-08 00:00,NAN,ss.10pc.340,2,Method167
Site569,Huron_GBPointeAuxBaril,2003-10-08 00:00,NAN,ss.10pc.380,3.43,Method167
Site569,Huron_GBPointeAuxBaril,2003-10-08 00:00,NAN,ss.10pc.395,4.15,Method167
Site569,Huron_GBPointeAuxBaril,2003-10-08 00:00,NAN,ss.1pc.313,2.2,Method167
Site569,Huron_GBPointeAuxBaril,2003-10-08 00:00,NAN,ss.1pc.320,3,Method167
Site569,Huron_GBPointeAuxBaril,2003-10-08 00:00,NAN,ss.1pc.340,3.79,Method167
Site569,Huron_GBPointeAuxBaril,2003-10-08 00:00,0.5,temp0.5m,11.06,Method167
Site569,Huron_GBPointeAuxBaril,2003-10-08 00:00,2,temp2m,11.02,Method167
Site569,Huron_GBPointeAuxBaril,2009-05-12 00:00,NAN,Kd380,4.56,Method167
Site569,Huron_GBPointeAuxBaril,2009-05-12 00:00,NAN,Kd395,3.45,Method167
Site569,Huron_GBPointeAuxBaril,2009-05-12 00:00,NAN,KdPAR,0.69,Method167
Site569,Huron_GBPointeAuxBaril,2009-05-12 00:00,NAN,max.depth,7.92,Method167
Site569,Huron_GBPointeAuxBaril,2009-05-12 00:00,NAN,ss.10pc.380,0.57,Method167
Site569,Huron_GBPointeAuxBaril,2009-05-12 00:00,NAN,ss.10pc.395,0.68,Method167
Site569,Huron_GBPointeAuxBaril,2009-05-12 00:00,NAN,ss.10pc.par,3.33,Method167
Site569,Huron_GBPointeAuxBaril,2009-05-12 00:00,NAN,ss.1pc.380,1.01,Method167
Site569,Huron_GBPointeAuxBaril,2009-05-12 00:00,NAN,ss.1pc.395,1.33,Method167
Site569,Huron_GBPointeAuxBaril,2009-05-12 00:00,NAN,ss.1pc.par,6.68,Method167
Site569,Huron_GBPointeAuxBaril,2009-05-12 00:00,0.5,temp0.5m,11.68,Method167
Site569,Huron_GBPointeAuxBaril,2009-05-12 00:00,2,temp2m,11.49,Method167
Site569,Huron_GBPointeAuxBaril,2009-08-26 00:00,NAN,Kd305,3.39,Method167
Site569,Huron_GBPointeAuxBaril,2009-08-26 00:00,NAN,Kd313,2.84,Method167
Site569,Huron_GBPointeAuxBaril,2009-08-26 00:00,NAN,Kd320,2.58,Method167
Site569,Huron_GBPointeAuxBaril,2009-08-26 00:00,NAN,Kd340,1.84,Method167
Site569,Huron_GBPointeAuxBaril,2009-08-26 00:00,NAN,Kd380,1.1,Method167
Site569,Huron_GBPointeAuxBaril,2009-08-26 00:00,NAN,Kd395,0.91,Method167
Site569,Huron_GBPointeAuxBaril,2009-08-26 00:00,NAN,KdPAR,0.46,Method167
Site569,Huron_GBPointeAuxBaril,2009-08-26 00:00,NAN,max.depth,8.03,Method167
Site569,Huron_GBPointeAuxBaril,2009-08-26 00:00,NAN,ss.10pc.305,0.69,Method167
Site569,Huron_GBPointeAuxBaril,2009-08-26 00:00,NAN,ss.10pc.313,0.76,Method167
Site569,Huron_GBPointeAuxBaril,2009-08-26 00:00,NAN,ss.10pc.320,0.92,Method167
Site569,Huron_GBPointeAuxBaril,2009-08-26 00:00,NAN,ss.10pc.340,1.24,Method167
Site569,Huron_GBPointeAuxBaril,2009-08-26 00:00,NAN,ss.10pc.380,2.06,Method167
Site569,Huron_GBPointeAuxBaril,2009-08-26 00:00,NAN,ss.10pc.395,2.54,Method167
Site569,Huron_GBPointeAuxBaril,2009-08-26 00:00,NAN,ss.10pc.par,5.59,Method167
Site569,Huron_GBPointeAuxBaril,2009-08-26 00:00,NAN,ss.1pc.305,1.38,Method167
Site569,Huron_GBPointeAuxBaril,2009-08-26 00:00,NAN,ss.1pc.313,1.62,Method167
Site569,Huron_GBPointeAuxBaril,2009-08-26 00:00,NAN,ss.1pc.320,1.79,Method167
Site569,Huron_GBPointeAuxBaril,2009-08-26 00:00,NAN,ss.1pc.340,2.5,Method167
Site569,Huron_GBPointeAuxBaril,2009-08-26 00:00,NAN,ss.1pc.380,4.19,Method167
Site569,Huron_GBPointeAuxBaril,2009-08-26 00:00,NAN,ss.1pc.395,5.08,Method167
Site569,Huron_GBPointeAuxBaril,2009-08-26 00:00,0.5,temp0.5m,21.63,Method167
Site569,Huron_GBPointeAuxBaril,2009-08-26 00:00,2,temp2m,21.64,Method167
Site569,Huron_GBPointeAuxBaril,2009-10-13 00:00,NAN,Kd305,3.37,Method167
Site569,Huron_GBPointeAuxBaril,2009-10-13 00:00,NAN,Kd313,2.57,Method167
Site569,Huron_GBPointeAuxBaril,2009-10-13 00:00,NAN,Kd320,2.32,Method167
Site569,Huron_GBPointeAuxBaril,2009-10-13 00:00,NAN,Kd340,1.66,Method167
Site569,Huron_GBPointeAuxBaril,2009-10-13 00:00,NAN,Kd380,0.94,Method167
Site569,Huron_GBPointeAuxBaril,2009-10-13 00:00,NAN,Kd395,0.74,Method167
Site569,Huron_GBPointeAuxBaril,2009-10-13 00:00,NAN,KdPAR,0.35,Method167
Site569,Huron_GBPointeAuxBaril,2009-10-13 00:00,NAN,max.depth,7.84,Method167
Site569,Huron_GBPointeAuxBaril,2009-10-13 00:00,NAN,ss.10pc.305,0.79,Method167
Site569,Huron_GBPointeAuxBaril,2009-10-13 00:00,NAN,ss.10pc.313,0.87,Method167
Site569,Huron_GBPointeAuxBaril,2009-10-13 00:00,NAN,ss.10pc.320,0.91,Method167
Site569,Huron_GBPointeAuxBaril,2009-10-13 00:00,NAN,ss.10pc.340,1.38,Method167
Site569,Huron_GBPointeAuxBaril,2009-10-13 00:00,NAN,ss.10pc.380,2.33,Method167
Site569,Huron_GBPointeAuxBaril,2009-10-13 00:00,NAN,ss.10pc.395,2.96,Method167
Site569,Huron_GBPointeAuxBaril,2009-10-13 00:00,NAN,ss.10pc.par,7.19,Method167
Site569,Huron_GBPointeAuxBaril,2009-10-13 00:00,NAN,ss.1pc.305,2.02,Method167
Site569,Huron_GBPointeAuxBaril,2009-10-13 00:00,NAN,ss.1pc.313,1.79,Method167
Site569,Huron_GBPointeAuxBaril,2009-10-13 00:00,NAN,ss.1pc.320,1.98,Method167
Site569,Huron_GBPointeAuxBaril,2009-10-13 00:00,NAN,ss.1pc.340,2.77,Method167
Site569,Huron_GBPointeAuxBaril,2009-10-13 00:00,NAN,ss.1pc.380,4.92,Method167
Site569,Huron_GBPointeAuxBaril,2009-10-13 00:00,NAN,ss.1pc.395,6.19,Method167
Site569,Huron_GBPointeAuxBaril,2009-10-13 00:00,0.5,temp0.5m,11.56,Method167
Site569,Huron_GBPointeAuxBaril,2009-10-13 00:00,2,temp2m,11.58,Method167
Site569,Huron_GBPointeAuxBaril,2015-05-19 00:00,NAN,Kd313,12.04,Method167
Site569,Huron_GBPointeAuxBaril,2015-05-19 00:00,NAN,Kd320,10.82,Method167
Site569,Huron_GBPointeAuxBaril,2015-05-19 00:00,NAN,Kd340,9.02,Method167
Site569,Huron_GBPointeAuxBaril,2015-05-19 00:00,NAN,Kd380,4.87,Method167
Site569,Huron_GBPointeAuxBaril,2015-05-19 00:00,NAN,Kd395,3.76,Method167
Site569,Huron_GBPointeAuxBaril,2015-05-19 00:00,NAN,KdPAR,0.76,Method167
Site569,Huron_GBPointeAuxBaril,2015-05-19 00:00,NAN,max.depth,9.3,Method167
Site569,Huron_GBPointeAuxBaril,2015-05-19 00:00,NAN,ss.10pc.313,0.18,Method167
