SiteID,Site,LakeName,Latitude,Longitude
Site1055,Ontario_Cobourg3555,Ontario,43.965056,-78.029028
Site1056,Ontario_Cobourg3552,Ontario,43.964472,-78.035944
Site1057,Ontario_Cobourg3553,Ontario,43.959306,-78.033333
Site1058,Ontario_Cobourg3554,Ontario,43.950222,-78.030944
Site1059,Ontario_Cobourg1037,Ontario,43.93526,-78.02678
Site1060,Ontario_TorontoEast3787,Ontario,43.75712,-79.15379
Site1061,Ontario_TorontoEast3788,Ontario,43.75312,-79.15176
Site1062,Ontario_TorontoEast3783,Ontario,43.73416,-79.18433
Site1063,Ontario_TorontoEast3784,Ontario,43.72525,-79.17081
Site1064,Ontario_TorontoEast1035,Ontario,43.71398,-79.16126
Site1065,Ontario_Oakville3988,Ontario,43.44664,-79.66011
Site1066,Ontario_Oakville3989,Ontario,43.44408,-79.65693
Site1067,Ontario_Oakville3990,Ontario,43.44318,-79.65495
Site1068,Ontario_Oakville3991,Ontario,43.43762,-79.64531
Site1069,Ontario_Oakville1036,Ontario,43.43336,-79.63846
Site1070,Huron_GBNawash,Huron,44.92928486,-81.06582
Site1071,Huron_GrandBend,Huron,43.294027,-81.83008
Site1074,Huron_StokesBayOS,Huron,44.978056,-81.487833
Site569,Huron_GBPointeAuxBaril,Huron,45.54181389,-80.42815833
Site570,Huron_GBFrenchRiiver,Huron,45.91325,-80.91611111
Site571,Huron_GBParrySound3,Huron,45.33686111,-80.28163889
Site572,Huron_GBParrySound1,Huron,45.33987,-80.0646
Site573,Huron_GBMoonIsland,Huron,45.13411111,-80.08883333
Site574,Huron_GBGoHomeBay,Huron,44.98462778,-79.97400278
Site575,Huron_GBSevernSound,Huron,44.78897222,-79.85036111
Site576,Huron_GBNottawasagaBay,Huron,44.60302778,-80.07109444
Site577,Huron_GBCollingwood,Huron,44.55247222,-80.24944444
Site578,Huron_GBOwenSound,Huron,44.60308333,-80.92697222
Site579,Huron_GBColpoysBay,Huron,44.83461111,-80.98847222
Site580,Huron_Tobermory,Huron,45.29988889,-81.69990833
Site581,Huron_SouthBay,Huron,45.57527778,-82.00472222
Site582,Huron_StokesBay,Huron,44.97041667,-81.41005556
Site583,Huron_SouthHampton,Huron,44.51416667,-81.38252778
Site584,Huron_Kincardine,Huron,44.18355556,-81.71614444
Site585,Huron_Goderich,Huron,43.74916667,-81.73805556
Site586,Huron_CapeIpperwash,Huron,43.25775,-82.02391667
Site587,Huron_GBParrySound2,Huron,45.33611111,-80.06083333
Site589,Huron_SaubleBeachSmith39,Huron,44.65722,-81.3789
Site590,Huron_LittlePikeBayOSSmith40,Huron,44.89889,-81.4372
Site591,Huron_AlpenaOSSmith44,Huron,45.01694,-82.6844
Site592,Huron_MackinacStraitsSmith64,Huron,45.81333,-84.755
Site593,Huron_MackinacIslandSmith65,Huron,45.845,-84.5667
Site594,Huron_MarquetteIslandOSSmith66,Huron,45.86306,-84.2985
Site595,Huron_SaginawBay2Smith96,Huron,44.12639,-83.1714
Site596,Ontario_NorthChannel,Ontario,44.18069,-76.73514
Site597,Ontario_SLRLakeStFrancis,Ontario,45.13672,-74.41608
Site598,Ontario_SLRPrescott,Ontario,44.69839,-75.5315
Site599,Ontario_SixMileCreek,Ontario,43.31986,-78.97853
Site600,Ontario_HHHamilton,Ontario,43.28881,-79.83625
Site601,Ontario_SLRMcDonnellBay,Ontario,44.23428,-76.37458
Site602,Ontario_BoQTrenton,Ontario,44.08831,-77.54383
Site605,Ontario_Pickering,Ontario,43.79361,-79.08501
Site606,Ontario_PortCredit,Ontario,43.54230556,-79.569
Site608,Ontario_TorontoHarbour,Ontario,43.63158,-79.36994
Site609,Ontario_HumberBay,Ontario,43.62331,-79.44681
Site610,Ontario_Presquile,Ontario,44.01517,-77.70864
Site611,Ontario_PortDalhousie,Ontario,43.22772,-79.28328
Site612,Ontario_StoneyCreek,Ontario,43.26819,-79.67111
Site613,Ontario_PrinceEdwardCounty,Ontario,43.95791518,-76.81168767
Site614,Ontario_Etobicoke,Ontario,43.57272,-79.51594
Site615,Ontario_Cobourg,Ontario,43.95333,-78.01236
Site616,Ontario_NewCastle,Ontario,43.88019,-78.56128
Site617,Ontario_Oakville,Ontario,43.42581,-79.66067
Site619,Erie_SCRStClairRiver,Erie,42.89728,-82.45747
Site620,Erie_DRFightingIsland,Erie,42.19772,-83.10875
Site621,Erie_SCRLakeStClairEast,Erie,42.37256,-82.43261
Site622,Erie_SCRLakeStClairUpper,Erie,42.50158,-82.70256
Site623,Erie_SCRStClairRiver-IA,Erie,42.86336,-82.46633
Site624,Erie_GrandRiverRiver,Erie,42.87172,-79.57161
Site625,Erie_Leamington,Erie,41.96694,-82.55986
Site626,Erie_WesternBasin,Erie,41.85681,-83.09631
Site627,Erie_PortCrewe,Erie,42.16366667,-82.14869444
Site628,Erie_GrandRiverLake,Erie,42.84067,-79.58994
Site629,Erie_Nanticoke,Erie,42.77497,-79.98236
Site630,Erie_PortStanley,Erie,42.63772,-81.18553
Site631,Erie_PointeAuxPins,Erie,42.28197,-81.82817
Site632,Erie_FortErie,Erie,42.87186,-78.93039
Site633,Erie_LongPointBay,Erie,42.65319,-80.28483
Site634,Erie_Colchester,Erie,41.96831,-82.96119
Site635,Erie_PortGlasgow,Erie,42.40478,-81.63875
Site636,Superior_BigTroutBay,Superior,48.05208,-89.47153
Site637,Superior_NCSpanishHarbour,Superior,46.17331,-82.39219
Site638,Superior_SMRStMarysRiver,Superior,46.49371,-84.4656
Site639,Superior_SMRStJosephChannel,Superior,46.30029,-84.03491
Site640,Superior_SMRLakeStGeorge,Superior,46.48628,-84.11642
Site641,Superior_FlatlandIsland,Superior,48.212,-89.26347
Site642,Superior_WelcomeIsland,Superior,48.36693,-89.15592
Site643,Superior_SturgeonBay,Superior,48.52814,-88.44633
Site644,Superior_NipigonBay,Superior,48.93062,-88.19569
Site645,Superior_Rossport,Superior,48.82984,-87.51789
Site646,Superior_JackfishBay,Superior,48.80288,-86.98494
Site647,Superior_PeninsulaHarbour,Superior,48.74563,-86.41709
Site648,Superior_WarpBay,Superior,47.58464,-85.00761
Site649,Superior_GoulaisBay,Superior,46.71935,-84.48648
Site650,Superior_NCNorthChannel,Superior,46.09856,-82.28664
Site651,Superior_MichipicotenRiver,Superior,47.94232,-84.85644
Site652,Superior_OtterHead,Superior,48.10158,-86.03397
Site653,Superior_BlackBay,Superior,48.60161111,-88.52294444
Site654,Superior_OuterNipigonBay,Superior,48.87127778,-87.95313889
Site655,Superior_McKellarHarbour,Superior,48.80130556,-86.70594444
Site669,Erie_37,Erie,42.11,-81.58
Site670,Huron_54M,Huron,45.516,-83.416
Site671,Michigan_40,Michigan,44.759,-86.966
Site672,Ontario_49,Ontario,43.772,-77.438
Site673,Superior_05,Superior,46.77483,-86.55567
