SiteID,NewSiteName,SiteLatitude,SiteLongitude,Collaborator,Station,BOW,Station_Bow,SubBasin,WaterBodyType,Geology,Notes,Questions
Site618,Erie,,,Todd Howell,26,4,26_4,,,,,
Site636,Superior_BigTroutBay,48.05208,-89.47153,Todd Howell,38,1,38_1,LakeSuperior-Western,Lake-Reference,Shield,"reference to open lake however sometimes lower transparency than open lake so added 38 big trout bay as a similar site for western subbasin reference site, similar to 283",
Site637,Superior_NCSpanishHarbour,46.17331,-82.39219,Todd Howell,39,14,39_14,NorthChannel,River-Index,Shield,Spanish Harbor strongly influenced by the river area of concern b/c of DOC rich water,
Site619,Erie_SCRStClairRiver,42.89728,-82.45747,Todd Howell,43,15,43_15,StClairRiver,River-Index,Sedimentary,"in the river mainly lake huron water and shorelines, long term sensing site",long term sensing site but listed as index site
Site576,Huron_GBNottawasagaBay,44.60302778,-80.07109444,Todd Howell,52,3,52_3,GeorgianBay,River-Reference,Sedimentary,"off the mouth of large river, very shallow, river plume influenced in eastern GB",
Site638,Superior_SMRStMarysRiver,46.49371,-84.4656,Todd Howell,52,13,52_13,StMarysRiver,River-Index,Shield,"discharge of LS w/some shoreline influence whitefish bay, not sure this will be useful for me",
Site572,Huron_GBParrySound1,45.33987,-80.0646,Todd Howell,53,3,53_3,GeorgianBay,Embayment-Reference,Shield,"not as many mussels, IAGLR paper from Todd, essentially the same as 604 site",
Site596,Ontario_NorthChannel,44.18069,-76.73514,Todd Howell,64,6,64_6,LakeOntario-Eastern,ConnectingChannel-Reference,Sedimentary,Situational influence of BofQ on the St L River,
Site574,Huron_GBGoHomeBay,44.98462778,-79.97400278,Todd Howell,83,3,83_3,GeorgianBay,Embayment-Reference,Shield,coastal habitat will reflect shield water quality,
Site569,Huron_GBPointeAuxBaril,45.54181389,-80.42815833,Todd Howell,84,3,84_3,GeorgianBay,Embayment-Reference,Shield,"great station, first nation site",
Site597,Ontario_SLRLakeStFrancis,45.13672,-74.41608,Todd Howell,126,12,126_12,StLawrenceRiver,River-Reference,Sedimentary,Lake St. Francis,
Site598,Ontario_SLRPrescott,44.69839,-75.5315,Todd Howell,128,12,128_12,StLawrenceRiver,River-Reference,Sedimentary,,
Site584,Huron_Kincardine,44.18355556,-81.71614444,Todd Howell,131,8,131_8,LakeHuron_Southern,Lake-Reference,Sedimentary,clear water Point Clark shallow topography ridge of northern SB,
Site580,Huron_Tobermory,45.29988889,-81.69990833,Todd Howell,132,8,132_8,LakeHuron_Southern,Lake-Reference,Sedimentary,exposed same as reference of 131,
Site620,Erie_DRFightingIsland,42.19772,-83.10875,Todd Howell,176,10,176_10,DetroitRiver,ConnectingChannel-Reference,Sedimentary,long term sensing site,
Site639,Superior_SMRStJosephChannel,46.30029,-84.03491,Todd Howell,206,13,206_13,StMarysRiver,River-Reference,Shield,"interesting on a bed of clay, not colored but clay influenced so weird geology w/minimal light penetration but probably cut station b/c of weird anomally",
Site621,Erie_SCRLakeStClairEast,42.37256,-82.43261,Todd Howell,209,4,209_4,DetroitRiver,River-Index,Sedimentary,"nutrient rich w/the river, long term monitoring site",
Site622,Erie_SCRLakeStClairUpper,42.50158,-82.70256,Todd Howell,210,4,210_4,DetroitRiver,River-Reference,Sedimentary,"influenced by lake huron, long term monitoring site",
Site599,Ontario_SixMileCreek,43.31986,-78.97853,Todd Howell,226,6,226_6,LakeErie-Western,Lake-Index,Sedimentary,"newer site very similar to 3045, monitors the effects of the Niagra River on the lake",
Site640,Superior_SMRLakeStGeorge,46.48628,-84.11642,Todd Howell,231,13,231_13,StMarysRiver,River-Index,Shield,river station treat as a river influenced by Lake Superior and SMR,
Site623,Erie_SCRStClairRiver-IA,42.86336,-82.46633,Todd Howell,244,15,244_15,StClairRiver,River-Reference,Sedimentary,in the river mainly lake huron water and shorelines,
Site624,Erie_GrandRiverRiver,42.87172,-79.57161,Todd Howell,248,16,248_16,GrandRiiver,River-Index,Sedimentary,river plumes will be highly variable,
Site600,Ontario_HHHamilton,43.28881,-79.83625,Todd Howell,258,9,258_9,HamiltonHarbour,Harbour-Index,Sedimentary,center of open harbour,
